06/02/2004 15:16:44,admin.skins.asp,LoadSkinsInMemory,INFO,Load skins,,/fullxml4/Default.asp?,
06/02/2004 16:29:43,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,BEGIN modules loading.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:29:43,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module dbms detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:29:44,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module navigation detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:29:44,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module poll detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:29:44,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module search detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:29:44,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module website detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:29:44,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module system detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:29:44,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,END modules loading.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:12,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,BEGIN modules loading.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:12,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module dbms detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:12,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module navigation detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:12,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module poll detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:13,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module search detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:13,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module website detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:13,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,Module system detected.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:13,admin.modules.asp,Do_Create_Modules_XMLFile,INFO,END modules loading.,,/fullxml4/admin.asp?action=modules,process=do_create_moduleslist&modules=dbms&modules=navigation&modules=poll&modules=search&modules=website
06/02/2004 16:39:44,XmlUtilities.asp,UpdateNode,INFO,A Node is inserted in : file:///C:/fullxml4/webroot/db/pages/%7Ba4773c12-6b3d-4e4a-8e95-77e0405486df%7D.xml.asp,/page/placeholders/placeholder[@id='main'],/fullxml4/popup.asp?action=editcontent&sid=null&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df}&contenttype=system_text&placeholder=main,process=do_submit_content&contentID=&name=new+text&placeholder=main&contenttype=system_text&box=normal.html&cachetimeout=60&text=xcxcx
06/02/2004 16:40:08,XmlUtilities.asp,UpdateNode,INFO,A Node is inserted in : file:///C:/fullxml4/webroot/db/pages/%7Ba4773c12-6b3d-4e4a-8e95-77e0405486df%7D.xml.asp,/page/placeholders/placeholder[@id='main'],/fullxml4/popup.asp?action=editcontent&sid=null&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df}&contenttype=system_text&placeholder=main,process=do_submit_content&contentID=&name=new+text&placeholder=main&contenttype=system_text&box=normal.html&cachetimeout=60&text=xcxcx
